# LUX conversion factors Y for operators (4,5) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (11:44:29)
5.000000000000000888e+00 1.100616596525715195e-11 1.494490072824697071e-10 -1.642354831900814549e-09
6.862982963688712523e+00 1.470685529778779018e-11 1.940702318742968906e-10 -2.253472466192720612e-09
9.420107031976296952e+00 2.014549754371736931e-11 2.650883136073568618e-10 -3.095870624310501299e-09
1.293000681531550811e+01 2.854070431697110813e-11 3.687304202022355651e-10 -4.173507228435524625e-09
1.774768329877785433e+01 4.146299978043687924e-11 5.197225607340092316e-10 -5.448397656866374565e-09
2.436040962489102668e+01 6.268826045019665044e-11 7.415895689572834868e-10 -6.739107897998004189e-09
3.343701524882109766e+01 9.697595959992197812e-11 1.051903357490099240e-09 -7.654494686524381566e-09
4.589553320185178364e+01 1.399903799897903544e-10 1.400748265011317249e-09 -7.963828012035482023e-09
6.299605249474369373e+01 1.799167044808872342e-10 1.704593400513043113e-09 -7.871742227113691557e-09
8.646816701021307949e+01 2.101596907689802783e-10 1.927150677809490534e-09 -7.661183480631635943e-09
1.186859114184965591e+02 2.308489159166327093e-10 2.076763584138476417e-09 -7.468616871034208739e-09
1.629078776190019084e+02 2.444676573980323006e-10 2.174350450406652517e-09 -7.325126660706644603e-09
2.236067977499789663e+02 2.533972798813636939e-10 2.237884620280480024e-09 -7.225019819726824803e-09
3.069219287046186651e+02 2.593071944683934288e-10 2.279882821368155843e-09 -7.156908172293169823e-09
4.212799935764559223e+02 2.632754893719489175e-10 2.308126486984637824e-09 -7.110464509149711581e-09
5.782474837716208640e+02 2.660027846063400008e-10 2.327378140144287045e-09 -7.078498454591986290e-09
7.937005259840999543e+02 2.678259089639580649e-10 2.340657131559531064e-09 -7.056273770942029385e-09
1.089430637619929712e+03 2.691371808258218792e-10 2.350177913459849838e-09 -7.040822145588287163e-09
1.495348781221220406e+03 2.700642038749896087e-10 2.356725624289478985e-09 -7.029716559084317243e-09
2.052510642058783560e+03 2.707245807195265236e-10 2.361418805448846244e-09 -7.021864272189406650e-09
2.817269113847842618e+03 2.711977439460383503e-10 2.364785664690311936e-09 -7.016243492466436481e-09
3.866973986492824224e+03 2.715381762998987842e-10 2.367206437734760929e-09 -7.012199324986399117e-09
5.307795318065535866e+03 2.717836900545392375e-10 2.368951996154860011e-09 -7.009274240270781708e-09
7.285461768526097330e+03 2.719607142801991564e-10 2.370225334288406292e-09 -7.007172726726329608e-09
1.000000000000000000e+04 2.720877263688212559e-10 2.371097868551775941e-09 -7.005592722234791088e-09
