# LZ conversion factors Y for operators (9,9) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (12:25:13)
5.000000000000000888e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.862982963688712523e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.420107031976296952e+00 5.865763828910816662e-12 1.839476732708459868e-10 6.326657099051916244e-09
1.293000681531550811e+01 5.723450389066605798e-12 1.777361822070686183e-10 6.077231583093300754e-09
1.774768329877785433e+01 6.399743351610112582e-12 1.923932575691664427e-10 6.491074121438947008e-09
2.436040962489102668e+01 7.519398585983685083e-12 2.132941005036994938e-10 7.049923329475741342e-09
3.343701524882109766e+01 8.756585677069815796e-12 2.330186268993622624e-10 7.547561462853838286e-09
4.589553320185178364e+01 9.721300429802949940e-12 2.468601005727106405e-10 7.882412063007586059e-09
6.299605249474369373e+01 1.035042807673831122e-11 2.552729228532712925e-10 8.080585673761951722e-09
8.646816701021307949e+01 1.073119641163446869e-11 2.602102450562280462e-10 8.195148538195654681e-09
1.186859114184965591e+02 1.095969498166353696e-11 2.631522783055135762e-10 8.262928180811869377e-09
1.629078776190019084e+02 1.110061306732102878e-11 2.649587576208401067e-10 8.304459976502333778e-09
2.236067977499789663e+02 1.119115459563238929e-11 2.661034107622943242e-10 8.330804233212842540e-09
3.069219287046186651e+02 1.124949913406637043e-11 2.668506272461030293e-10 8.348029146010294396e-09
4.212799935764559223e+02 1.128747629606723053e-11 2.673513416490826602e-10 8.359578739739278427e-09
5.782474837716208640e+02 1.131386806046378408e-11 2.676927827167559285e-10 8.367482485216093433e-09
7.937005259840999543e+02 1.133210287817687862e-11 2.679297230357833688e-10 8.372978925155051944e-09
1.089430637619929712e+03 1.134487044294923864e-11 2.680960796591824033e-10 8.376845058578020687e-09
1.495348781221220406e+03 1.135486694598374401e-11 2.682138481566683653e-10 8.379598730979871766e-09
2.052510642058783560e+03 1.136184735117486484e-11 2.682981799978192963e-10 8.381572244378649645e-09
2.817269113847842618e+03 1.136733060131303182e-11 2.683585959137464477e-10 8.382993731908087804e-09
3.866973986492824224e+03 1.137065521878994923e-11 2.684024465289354746e-10 8.384018774432557189e-09
5.307795318065535866e+03 1.137074122059273401e-11 2.684350646956982376e-10 8.384752863966028231e-09
7.285461768526097330e+03 1.137244604652549914e-11 2.684572255428737411e-10 8.385265093359009016e-09
1.000000000000000000e+04 1.137397850799890873e-11 2.684718226829460950e-10 8.385596072190058840e-09
