# Xenon1T conversion factors Y for operators (5,5) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 15/6/2017 (17:27:43)
5.000000000000000888e+00 6.968517117889002594e-11 1.000932344554292498e-10 1.445425437420330187e-10
6.862982963688712523e+00 1.051865384966049303e-10 1.521328335404409310e-10 2.207492334391084180e-10
9.420107031976296952e+00 1.438643519507587263e-10 2.067439924948272285e-10 3.039381927277947353e-10
1.293000681531550811e+01 1.688949257157957969e-10 2.427484496508817393e-10 3.637437524910467977e-10
1.774768329877785433e+01 2.006603204943094458e-10 2.887857852648484804e-10 4.469012927185175907e-10
2.436040962489102668e+01 2.380004189231638343e-10 3.441345095884792067e-10 5.615747546576287465e-10
3.343701524882109766e+01 2.680915069450552767e-10 3.896100603462035934e-10 6.917077569467273965e-10
4.589553320185178364e+01 2.802149711805450559e-10 4.123217571073344172e-10 7.934239355470456507e-10
6.299605249474369373e+01 2.767753627261326402e-10 4.107682256936400284e-10 8.530390242675076646e-10
8.646816701021307949e+01 2.686473124175283550e-10 4.013791495149957808e-10 8.834408764605573274e-10
1.186859114184965591e+02 2.609808483960147716e-10 3.917516166980155005e-10 8.984453460674268248e-10
1.629078776190019084e+02 2.550750757376480241e-10 3.841444267355989880e-10 9.060500738254430406e-10
2.236067977499789663e+02 2.508491608020133304e-10 3.786400883949812205e-10 9.101203900435691917e-10
3.069219287046186651e+02 2.479131785560242284e-10 3.747713311550492297e-10 9.124249876353434742e-10
4.212799935764559223e+02 2.458712149147858018e-10 3.720541355183401032e-10 9.138561460788965093e-10
5.782474837716208640e+02 2.444509078882367846e-10 3.701661589700891868e-10 9.147232566221658508e-10
7.937005259840999543e+02 2.434385833521129032e-10 3.689241133507784953e-10 9.152876438810409432e-10
1.089430637619929712e+03 2.427482071559030929e-10 3.680111981779897105e-10 9.156654389209669381e-10
1.495348781221220406e+03 2.423126937582880853e-10 3.673015655230750076e-10 9.159504956415165725e-10
2.052510642058783560e+03 2.419402052109575024e-10 3.668786593478443485e-10 9.160422474930788821e-10
2.817269113847842618e+03 2.416595048844505078e-10 3.664879399797016784e-10 9.161981899397500275e-10
3.866973986492824224e+03 2.413183042652060501e-10 3.662917257196188180e-10 9.163458625121771006e-10
5.307795318065535866e+03 2.407955391847121465e-10 3.662231095870358712e-10 9.166251886990471884e-10
7.285461768526097330e+03 2.409123144174018282e-10 3.660874688973219982e-10 9.165202764918804533e-10
1.000000000000000000e+04 2.407162614127080182e-10 3.661108387751247621e-10 9.165360548352922356e-10
